generic,disease,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_UNIT,max_dose_dd_iu,route,
Amikacin,Bacteremia,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacteremia,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Bacteremia,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacteremia,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacteremia,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Bacteremia,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Bacteremia,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacteremia,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Bacterial Infection,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacterial Infection,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Bacterial Infection,1,7,,,,,2.1,,,,,,,,15,30,,,IM,
Amikacin,Bacterial Infection,8,29,,,,,2.1,,,,,,,,17.5,35,,,IM,
Amikacin,Bacterial Infection,1,7,,,,,,2,,,,,,,7.5,15,,,IM,
Amikacin,Bacterial Infection,8,29,,,,,,2,,,,,,,15,30,,,IM,
Amikacin,Bacterial Infection,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Bacterial Infection,1,7,,,,,2.1,,,,,,,,15,30,,,IV,
Amikacin,Bacterial Infection,8,29,,,,,2.1,,,,,,,,17.5,35,,,IV,
Amikacin,Bacterial Infection,1,7,,,,,,2,,,,,,,7.5,15,,,IV,
Amikacin,Bacterial Infection,8,29,,,,,,2,,,,,,,15,30,,,IV,
Amikacin,Bacterial Infection,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Bone and Joint Infection,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Bone and Joint Infection,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Bone and Joint Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Bone and Joint Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Bone and Joint Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Bone and Joint Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Bone and Joint Infection,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Bone and Joint Infection,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Intraabdominal Infection,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Intraabdominal Infection,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Intraabdominal Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Intraabdominal Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Intraabdominal Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Intraabdominal Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Intraabdominal Infection,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Intraabdominal Infection,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Meningitis,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Meningitis,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Meningitis,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Meningitis,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Mycobacterium avium-intracellulare - Treatment,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Mycobacterium avium-intracellulare - Treatment,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Mycobacterium avium-intracellulare - Treatment,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Osteomyelitis,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Osteomyelitis,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Osteomyelitis,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Osteomyelitis,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Osteomyelitis,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Osteomyelitis,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Osteomyelitis,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Osteomyelitis,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Peritonitis,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Peritonitis,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Peritonitis,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Peritonitis,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Pneumonia,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Pneumonia,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Pneumonia,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Pneumonia,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Pneumonia,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Pneumonia,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Pneumonia,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Pneumonia,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Skin or Soft Tissue Infection,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Skin or Soft Tissue Infection,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Skin or Soft Tissue Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Skin or Soft Tissue Infection,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Skin or Soft Tissue Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Skin or Soft Tissue Infection,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Skin or Soft Tissue Infection,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Skin or Soft Tissue Infection,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Tuberculosis - Active,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Tuberculosis - Active,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Tuberculosis - Active,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Tuberculosis - Active,,,,,65,120,,,10,15,,,1500,,,,,,IM,
Amikacin,Tuberculosis - Active,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Tuberculosis - Active,,,,,65,120,,,10,15,,,1500,,,,,,IV,
Amikacin,Tuberculosis - Active,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Tuberculosis - Active,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amikacin,Urinary Tract Infection,,,,,12,65,,,10,15,,,1500,,,,,,IM,
Amikacin,Urinary Tract Infection,,,,,12,65,,,10,15,,,1500,,,,,,IV,
Amikacin,Urinary Tract Infection,,,1,,,11,,,10,15,,,1500,,,,,,IM,
Amikacin,Urinary Tract Infection,,,1,,,11,,,10,15,,,1500,,,,,,IV,
Amoxicillin,Anthrax Prophylaxis,,,,,12,120,,,,,,,,,3000,4000,,,PO,
Amoxicillin,Anthrax Prophylaxis,,,1,,,11,,,75,100,,,1000,,,,,,PO,
Amoxicillin,Anthrax Prophylaxis,1,7,,,,,,,50,75,,,,,,,,,PO,
Amoxicillin,Anthrax Prophylaxis,8,29,,,,,,,75,100,,,,,,,,,PO,
Amoxicillin,Bacterial Endocarditis Prophylaxis,,,,,18,120,,,,,,,,,2000,4000,,,PO,
Amoxicillin,Bacterial Endocarditis Prophylaxis,,,1,,,11,,,50,150,,,2000,,,,,,PO,
Amoxicillin,Bronchitis,,,,,12,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Bronchitis,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Bronchitis,,,3,,,11,,,40,45,,,,,,,,,PO,
Amoxicillin,Chlamydia Infection,,,,,12,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Cutaneous Bacillus anthracis,,,,,12,120,,,,,,,,,3000,4000,,,PO,
Amoxicillin,Cutaneous Bacillus anthracis,,,1,,,11,,,75,100,,,1000,,,,,,PO,
Amoxicillin,Cutaneous Bacillus anthracis,1,7,,,,,,,50,75,,,,,,,,,PO,
Amoxicillin,Cutaneous Bacillus anthracis,8,29,,,,,,,75,100,,,,,,,,,PO,
Amoxicillin,Helicobacter pylori Infection,,,,,18,120,,,,,,,,,2000,3000,,,PO,
Amoxicillin,Inhalation Bacillus anthracis,,,1,,,11,,,75,100,,,3000,,,,,,PO,
Amoxicillin,Inhalation Bacillus anthracis,1,7,,,,,,,50,75,,,,,,,,,PO,
Amoxicillin,Inhalation Bacillus anthracis,8,29,,,,,,,75,100,,,,,,,,,PO,
Amoxicillin,Lyme Disease,,,,,18,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Lyme Disease,,,1,,,11,,,50,67,,,1500,,,,,,PO,
Amoxicillin,Lyme Disease - Arthritis,,,,,18,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Lyme Disease - Carditis,,,,,18,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Lyme Disease - Erythema Chronicum Migrans,,,,,18,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin,Otitis Media,,,1,,,11,,,80,90,,,,,,,,,PO,
Amoxicillin,Pneumonia,,,,,18,120,,,,,,,,,1500,3000,,,PO,
Amoxicillin,Pneumonia,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Pneumonia,,,3,,,11,,,40,45,,,,,,,,,PO,
Amoxicillin,Sinusitis,,,,,12,120,,,,,,,,,750,1500,,,PO,
Amoxicillin,Sinusitis,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Sinusitis,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin,Skin and Structure Infection,,,,,12,120,,,,,,,,,750,1500,,,PO,
Amoxicillin,Skin or Soft Tissue Infection,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Skin or Soft Tissue Infection,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin,Streptococcus pneumoniae,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Streptococcus pneumoniae,,,3,,,11,,,90,135,,,,,,,,,PO,
Amoxicillin,Tonsillitis/Pharyngitis,,,,,12,120,,,,,,,,,1000,1500,,,PO,
Amoxicillin,Tonsillitis/Pharyngitis,,,1,,,11,,,50,75,,,1000,,,,,,PO,
Amoxicillin,Urinary Tract Infection,,,,,12,120,,,,,,,,,750,1500,,,PO,
Amoxicillin,Urinary Tract Infection,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin,Urinary Tract Infection,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Acute otitis media,,,3,,,11,,,30,90,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Aspiration Pneumonia,,,,,12,120,,,,,,,,,1500,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Bacterial Infection,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Bacterial Infection,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Bacterial Infection,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Bronchitis,,,,,12,120,,,,,,,,,1500,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Febrile Neutropenia,,,,,12,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin  + Clavulanic Acid,Melioidosis,,,1,,,8,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Otitis Media,,,,,12,120,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Otitis Media,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Otitis Media,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Otitis Media,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Pneumonia,,,,,12,120,,,,,,,,,1500,2000,,,PO,
Amoxicillin  + Clavulanic Acid,Pneumonia,,,1,3,,,,,30,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Pneumonia,,,3,,,11,,,20,45,,,,,,,,,PO,
Amoxicillin  + Clavulanic Acid,Pneumonia,,,3,,,11,,,,,,,,,750,1750,,,PO,
Amoxicillin  + Clavulanic Acid,Pyelonephritis,,,,,12,120,,,,,,,,,750,1750,,,PO,
